Time[s], Data[binary]
-5.000000000000000, 1
-0.000202160000000, 0
0.000000000000000, 1
0.000198080000000, 0
0.000337200000000, 1
0.000470560000000, 0
0.000577920000000, 1
0.000696800000000, 0
0.000812920000000, 1
0.000919280000000, 0
0.001003280000000, 1
0.001085760000000, 0
0.001166720000000, 1
0.001240040000000, 0
0.001317720000000, 1
0.001391960000000, 0
0.001462120000000, 1
0.001529440000000, 0
0.001596320000000, 1
0.001662400000000, 0
0.001726280000000, 1
0.001790400000000, 0
0.001856360000000, 1
0.001930080000000, 0
0.002007040000000, 1
0.002080280000000, 0
0.002150960000000, 1
0.002221160000000, 0
0.002291320000000, 1
0.002341840000000, 0
0.002388640000000, 1
0.002435040000000, 0
0.002481080000000, 1
0.002527280000000, 0
0.002573320000000, 1
0.002619520000000, 0
0.002666920000000, 1
0.002714360000000, 0
0.002768040000000, 1
0.002823280000000, 0
0.002892000000000, 1
0.002958120000000, 0
0.003018160000000, 1
0.003089120000000, 0
0.003177720000000, 1
0.003835400000000, 0
0.003940480000000, 1
0.004367800000000, 0
0.004457120000000, 1
0.004591440000000, 0
0.004817640000000, 1
0.005139520000000, 0
0.006170360000000, 1
0.006298680000000, 0
0.007443600000000, 1
0.007589360000000, 0
0.008131560000000, 1
0.008458240000000, 0
0.008726600000000, 1
0.008854600000000, 0
0.008959400000000, 1
0.009115440000000, 0
0.009658560000000, 1
0.010385960000000, 0
0.010690880000000, 1
0.011115080000000, 0
0.011973160000000, 1
0.012088000000000, 0
0.012189160000000, 1
0.012304120000000, 0
0.012449280000000, 1
0.012618240000000, 0
0.012844120000000, 1
0.013212160000000, 0
0.013417960000000, 1
0.014066400000000, 0
0.014399240000000, 1
0.014551480000000, 0
0.014668640000000, 1
0.014808680000000, 0
0.014933800000000, 1
0.015071200000000, 0
0.015243680000000, 1
0.015429640000000, 0
0.015579680000000, 1
0.015730080000000, 0
0.015874120000000, 1
0.016042240000000, 0
0.016166200000000, 1
0.016295240000000, 0
0.016420240000000, 1
0.016560320000000, 0
0.016694880000000, 1
0.016861840000000, 0
0.017011160000000, 1
0.017156720000000, 0
0.017307160000000, 1
0.017450440000000, 0
0.017620560000000, 1
0.017766720000000, 0
0.017903240000000, 1
0.018071360000000, 0
0.018248920000000, 1
0.018394360000000, 0
0.018565200000000, 1
0.018710640000000, 0
0.018881480000000, 1
0.019026960000000, 0
0.019197800000000, 1
0.019343240000000, 0
0.019526120000000, 1
0.019682800000000, 0
0.019848720000000, 1
0.020037040000000, 0
0.020181720000000, 1
0.020369720000000, 0
0.020526240000000, 1
0.020692280000000, 0
0.020890760000000, 1
0.021083480000000, 0
0.021216920000000, 1
0.021349880000000, 0
0.021508800000000, 1
0.021655600000000, 0
0.021799760000000, 1
0.021966840000000, 0
0.022116040000000, 1
0.022266360000000, 0
0.022410920000000, 1
0.022546360000000, 0
0.022692080000000, 1
0.022833920000000, 0
0.022967640000000, 1
0.023082160000000, 0
0.023216120000000, 1
0.023348480000000, 0
0.023479240000000, 1
0.023589880000000, 0
0.023692480000000, 1
0.023794760000000, 0
0.023899640000000, 1
0.024033000000000, 0
0.024150680000000, 1
0.024258600000000, 0
0.024364000000000, 1
0.024469360000000, 0
0.024574760000000, 1
0.024680120000000, 0
0.024794920000000, 1
0.024925080000000, 0
0.025038000000000, 1
0.025172320000000, 0
0.025301320000000, 1
0.025442640000000, 0
0.025560200000000, 1
0.025694720000000, 0
0.025820240000000, 1
0.025932080000000, 0
0.026048720000000, 1
0.026190560000000, 0
0.026308440000000, 1
0.026445760000000, 0
0.026568480000000, 1
0.026680000000000, 0
0.026788680000000, 1
0.026897560000000, 0
0.027006240000000, 1
0.027113880000000, 0
0.027219160000000, 1
0.027324600000000, 0
0.027429920000000, 1
0.027548360000000, 0
0.027676440000000, 1
0.027788160000000, 0
0.027896840000000, 1
0.028034360000000, 0
0.028155240000000, 1
0.028264080000000, 0
0.028384520000000, 1
0.028518320000000, 0
0.028631160000000, 1
0.028740000000000, 0
0.028848680000000, 1
0.028957560000000, 0
0.029091480000000, 1
0.029209080000000, 0
0.029317800000000, 1
0.029426680000000, 0
0.029535360000000, 1
0.029656160000000, 0
0.029784040000000, 1
0.029895760000000, 0
0.030004440000000, 1
0.030113280000000, 0
0.030222000000000, 1
0.030327880000000, 0
0.030433160000000, 1
0.030566880000000, 0
0.030684320000000, 1
0.030793200000000, 0
0.030901880000000, 1
0.031002920000000, 0
0.031089560000000, 1
0.031178320000000, 0
0.031294840000000, 1
0.031386080000000, 0
0.031479400000000, 1
0.031575160000000, 0
0.031673440000000, 1
0.031772600000000, 0
0.031873480000000, 1
0.031964840000000, 0
0.032049440000000, 1
0.032141080000000, 0
0.032237400000000, 1
0.032333680000000, 0
0.032415200000000, 1
0.032502080000000, 0
0.032596800000000, 1
0.032695960000000, 0
0.032796120000000, 1
0.032898280000000, 0
0.032995120000000, 1
0.033077400000000, 0
0.033168280000000, 1
0.033268560000000, 0
0.033370680000000, 1
0.033457600000000, 0
0.033544120000000, 1
0.033638840000000, 0
0.033740960000000, 1
0.033843120000000, 0
0.033940560000000, 1
0.034022720000000, 0
0.034115880000000, 1
0.034216600000000, 0
0.034318800000000, 1
0.034405600000000, 0
0.034492120000000, 1
0.034580280000000, 0
0.034662920000000, 1
0.034754040000000, 0
0.034852320000000, 1
0.034937360000000, 0
0.035024440000000, 1
0.035118760000000, 0
0.035212200000000, 1
0.035294880000000, 0
0.035385960000000, 1
0.035467320000000, 0
0.035553960000000, 1
0.035648480000000, 0
0.035740720000000, 1
0.035821520000000, 0
0.035912600000000, 1
0.035993960000000, 0
0.036080600000000, 1
0.036167000000000, 0
0.036248280000000, 1
0.036336960000000, 0
0.036417720000000, 1
0.036503320000000, 0
0.036596560000000, 1
0.036695720000000, 0
0.036789560000000, 1
0.036872040000000, 0
0.036963120000000, 1
0.037061280000000, 0
0.037162840000000, 1
0.037265000000000, 0
0.037367240000000, 1
0.037471640000000, 0
0.037576960000000, 1
0.037682400000000, 0
0.037772440000000, 1
